,name,dataset,algorithm,accuracy,time,time-per-pattern,clique-precision,clique-recall,bipartite core-precision,bipartite core-recall,star-precision,star-recall,chain-precision,chain-recall,none-precision,none-recall
40,8-1662009390411,synthetic-7-84-9,MinLA,0.7246376811594203,47650,15883.333333333334,1.0,1.0,0.0,0.0,0.75,1.0,0.6666666666666666,1.0,1.0,0.40625
41,7-1662008650057,synthetic-7-84-9,MinLA,0.4492753623188406,45605,11401.25,0.4,1.0,0.0,0.0,0.75,1.0,0.4444444444444444,0.2857142857142857,0.8461538461538461,0.28205128205128205
42,12-1662090291751,synthetic-7-84-9,MinLA,0.6811594202898551,97052,19410.4,1.0,1.0,0.0,0.0,0.875,0.5833333333333334,0.4444444444444444,0.6666666666666666,0.8461538461538461,0.4230769230769231
43,13-1662121289542,synthetic-7-84-9,MinLA,0.6666666666666666,43437,10859.25,1.0,1.0,0.0,0.0,0.75,1.0,0.4444444444444444,0.3333333333333333,0.8461538461538461,0.4230769230769231
44,14-1662122943293,synthetic-7-84-9,MinLA,0.6521739130434783,66876,13375.2,1.0,0.9259259259259259,0.0,0.0,0.75,1.0,0.4444444444444444,0.2857142857142857,0.7692307692307693,0.45454545454545453
45,1-1661934866373,synthetic-1-87-3,MinLA,0.7368421052631579,16687,5562.333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
46,3-1661999533002,synthetic-1-87-3,MinLA,0.7192982456140351,25961,8653.666666666666,1.0,1.0,0.0,0.0,0.875,1.0,1.0,1.0,0.0,0.0
47,5-1662002195049,synthetic-1-87-3,MinLA,0.7368421052631579,23584,7861.333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
48,9-1662010258606,synthetic-1-87-3,MinLA,0.8070175438596491,36711,9177.75,1.0,1.0,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0
49,0-1661933688574,synthetic-1-87-3,MinLA,0.5789473684210527,82650,9183.333333333334,0.5555555555555556,1.0,0.26666666666666666,1.0,0.875,0.3333333333333333,1.0,0.5833333333333334,0.0,0.0
50,11-1662013922332,synthetic-1-87-3,MinLA,0.7894736842105263,32678,8169.5,1.0,1.0,0.26666666666666666,1.0,0.875,1.0,1.0,1.0,0.0,0.0
51,2-1661935567051,synthetic-1-87-3,MinLA,0.7192982456140351,19134,6378.0,1.0,1.0,0.0,0.0,0.875,1.0,1.0,1.0,0.0,0.0
52,6-1662003410816,synthetic-1-87-3,MinLA,0.7894736842105263,28941,5788.2,1.0,1.0,0.26666666666666666,1.0,0.875,1.0,1.0,0.7,0.0,0.0
53,10-1662013153023,synthetic-1-87-3,MinLA,0.7192982456140351,35555,11851.666666666666,1.0,1.0,0.0,0.0,0.875,1.0,1.0,1.0,0.0,0.0
54,4-1662000612817,synthetic-1-87-3,MinLA,0.7017543859649122,32043,8010.75,1.0,1.0,0.0,0.0,0.75,0.6666666666666666,1.0,1.0,0.0,0.0
55,8-1662009390411,synthetic-1-87-3,MinLA,0.7192982456140351,16285,4071.25,1.0,0.6428571428571429,0.0,0.0,0.875,1.0,1.0,1.0,0.0,0.0
